RowID,DateTimeStart,DateTimeEnd,Title,Location,ForMultipleCandidates,CancelledorRescheduled,PositionIDList,URL,Notes
24,2019-10-10 16:30,2019-10-10 17:30,Meet & Greet with Mike,"Morrice Campaign Office, 157 King St. W., Kitchener",,,KitchenerCentre ,https://morrice2019.ca/public-events/2019/9/6/meet-amp-greet-with-mike-w73yb,
25,2019-08-18 16:00,2019-08-18 19:00,Meet & Greet with Sunny Attwal,"Attwal Campaign Office, 2445 Eagle St N, Cambridge, ON N3H 4R7, Canada",,,Cambridge,https://www.facebook.com/events/1220249258179682/,
26,2019-09-17 19:00,2019-09-17 21:00,All Candidates Debate - Cambridge,"Portuguese Club of Cambridge, 870 Townline Road, Cambridge",Y,,Cambridge,https://www.facebook.com/events/749091638865725/,
27,2019-09-19 20:00,2019-09-19 21:30,Meet Scott at the Black Badger,"The Black Badger Pub 55 Water Street N, Cambridge, Ontario N1R 3B3",,,Cambridge,https://www.facebook.com/events/1328593920647857/,
28,2019-09-12 20:00,2019-09-12 21:30,Watch the Leadership Debate with Scott Hamilton,"13 Food & Beverage 13 Main Street, Cambridge",,,Cambridge,https://www.facebook.com/events/501771210639881/,
29,2019-09-05 20:00,2019-09-05 21:30,Meet Scott at Abe Erb,"Abe Erb Brewing Company (Ayr) 143 Northumberland Street, Ayr, Ontario N0B 1E0",,,Cambridge,https://www.facebook.com/events/494707518030274/,
30,2019-08-29 20:00,2019-08-29 21:30,Meet Scott at Fiddle and Firkin,"Fiddle and Firkin, 707 King Street East, Cambridge, Ontario N3H 3N8",,,Cambridge,https://www.facebook.com/events/2085301641774236/,
31,2019-08-22 20:00,2019-09-22 21:30,Meet Scott Hamilton at (Cafe) Thirteen!,"13 Food & Beverage 13 Main Street, Cambridge",,,Cambridge,https://www.facebook.com/events/2463475043935092/,
32,,,Team Saini Barbeque,"Saini Campaign Office, 187 Fredericck St, Kitchener",,,,,
33,,,,,,,,,
